site,date,transect,transect_length_m,species,number,transect_area_m,density
Cannery Row,20021116,1,30,S_purpuratus,6,60,0.1
Cannery Row,20021116,2,30,S_purpuratus,4,60,0.06666666666666667
Cannery Row,20021116,3,30,S_purpuratus,11,60,0.18333333333333332
Cannery Row,20021116,4,30,S_purpuratus,0,60,0
Cannery Row,20021116,5,30,S_purpuratus,1,60,0.016666666666666666
Carmel Pt,20021118,1,30,S_purpuratus,0,60,0
Carmel Pt,20021118,2,30,S_purpuratus,1,60,0.016666666666666666
Carmel Pt,20021118,3,30,S_purpuratus,1,60,0.016666666666666666
Carmel Pt,20021118,4,30,S_purpuratus,2,60,0.03333333333333333
Carmel Pt,20021118,5,30,S_purpuratus,4,60,0.06666666666666667
Carmel Pt,20021118,6,30,S_purpuratus,8,60,0.13333333333333333
Carmel Pt,20021118,7,30,S_purpuratus,2,60,0.03333333333333333
Hopkins,20020908,1,30,S_purpuratus,4,60,0.06666666666666667
Hopkins,20020908,2,30,S_purpuratus,0,60,0
Hopkins,20020908,3,30,S_purpuratus,31,60,0.5166666666666667
Hopkins,20020908,4,30,S_purpuratus,6,60,0.1
Hopkins,20020908,5,30,S_purpuratus,5,60,0.08333333333333333
Hopkins,20020908,6,30,S_purpuratus,0,60,0
Hopkins,20020908,7,30,S_purpuratus,0,60,0
Pt Pinos,20021103,1,30,S_purpuratus,8,60,0.13333333333333333
Pt Pinos,20021103,2,30,S_purpuratus,1,60,0.016666666666666666
Pt Pinos,20021103,3,30,S_purpuratus,4,60,0.06666666666666667
Pt Pinos,20021103,4,30,S_purpuratus,7,60,0.11666666666666667
Pt Pinos,20021103,5,30,S_purpuratus,8,60,0.13333333333333333
Pt Pinos,20021103,6,30,S_purpuratus,13,60,0.21666666666666667
Pt Pinos,20021103,7,30,S_purpuratus,21,60,0.35
Soberanes,20021005,1,30,S_purpuratus,5,60,0.08333333333333333
Soberanes,20021005,2,30,S_purpuratus,8,60,0.13333333333333333
Soberanes,20021005,3,30,S_purpuratus,16,60,0.26666666666666666
Soberanes,20021005,4,30,S_purpuratus,12,60,0.2
Soberanes,20021005,5,30,S_purpuratus,7,60,0.11666666666666667
Soberanes,20021005,6,30,S_purpuratus,6,60,0.1
Soberanes,20021005,7,30,S_purpuratus,3,60,0.05
Pt Pinos,20170310,1,30,S_purpuratus,12,60,0.2
Cannery Row,20170404,1,30,S_purpuratus,69,60,1.15
Cannery Row,20170404,2,30,S_purpuratus,11,60,0.18333333333333332
Cannery Row,20170404,3,30,S_purpuratus,11,60,0.18333333333333332
Cannery Row,20170404,4,30,S_purpuratus,6,60,0.1
Cannery Row,20170404,5,30,S_purpuratus,0,60,0
Cannery Row,20170404,6,30,S_purpuratus,4,60,0.06666666666666667
Cannery Row,20170404,7,30,S_purpuratus,200,60,3.3333333333333335
Carmel Pt,20170226,1,30,S_purpuratus,0,60,0
Carmel Pt,20170226,3,30,S_purpuratus,0,60,0
Carmel Pt,20170226,4,30,S_purpuratus,0,60,0
Carmel Pt,20170226,5,30,S_purpuratus,0,60,0
Carmel Pt,20170226,6,30,S_purpuratus,0,60,0
Carmel Pt,20170226,7,30,S_purpuratus,0,60,0
Carmel Pt,20170226,8,30,S_purpuratus,0,60,0
Carmel Pt,20170307,9,30,S_purpuratus,5,60,0.08333333333333333
Carmel Pt,20170226,2,30,S_purpuratus,0,60,0
Hopkins,20170210,1,30,S_purpuratus,8,60,0.13333333333333333
Hopkins,20170210,2,30,S_purpuratus,27,60,0.45
Hopkins,20170210,3,30,S_purpuratus,0,60,0
Hopkins,20170210,4,30,S_purpuratus,0,60,0
Hopkins,20170210,5,30,S_purpuratus,1,60,0.016666666666666666
Hopkins,20170210,6,30,S_purpuratus,0,60,0
Pt Pinos,20170310,2,30,S_purpuratus,0,60,0
Pt Pinos,20170310,3,30,S_purpuratus,0,60,0
Pt Pinos,20170310,4,30,S_purpuratus,0,60,0
Pt Pinos,20170310,5,30,S_purpuratus,9,60,0.15
Pt Pinos,20170310,6,30,S_purpuratus,0,60,0
Pt Pinos,20170310,7,30,S_purpuratus,0,60,0
Pt Pinos,20170310,8,30,S_purpuratus,4,60,0.06666666666666667
Pt Pinos,20170310,9,30,S_purpuratus,6,60,0.1
Hopkins,20170210,7,30,S_purpuratus,15,60,0.25
Hopkins,20170210,8,30,S_purpuratus,0,60,0
Hopkins,20180212,1,30,S_purpuratus,22,60,0.36666666666666664
Hopkins,20180212,2,30,S_purpuratus,3,60,0.05
Hopkins,20180212,3,30,S_purpuratus,5,60,0.08333333333333333
Hopkins,20180212,4,30,S_purpuratus,2,60,0.03333333333333333
Hopkins,20180212,5,30,S_purpuratus,12,60,0.2
Pt Pinos,20180226,1,30,S_purpuratus,21,60,0.35
Pt Pinos,20180226,2,30,S_purpuratus,22,60,0.36666666666666664
Pt Pinos,20180226,3,30,S_purpuratus,14,60,0.23333333333333334
