Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
HMS,20020908,1,,,,,H_cracherodii,C,25,10,21,3,
HMS,20020908,1,,,,,H_cracherodii,C,25,10,21,5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,5,
HMS,20020908,1,,,,,H_cracherodii,C,,,2.8,5.5,
HMS,20020908,1,,,,,H_cracherodii,C,24,5,25,6,
HMS,20020908,1,,,,,H_cracherodii,C,24,5,25,6,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,6.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,6.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,6.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,7,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,7.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,8,
HMS,20020908,1,,,,,H_cracherodii,C,20,6,5.7,8.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,9.5,
HMS,20020908,1,,,,,H_cracherodii,C,35,8,19.3,10,
HMS,20020908,2,,,,,H_cracherodii,C,50,10,0.4,6,
HMS,20020908,2,,,,,H_cracherodii,C,65,10,0.1,8,
HMS,20020908,2,,,,,H_cracherodii,C,50,10,0.4,10,
HMS,20020909,3,,,,,H_cracherodii,C,6,5,14.6,1.74,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,3.5,2.5,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,3,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,3.5,3,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,3.5,
HMS,20020909,3,,,,,H_cracherodii,C,20,5,15.2,3.5,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,14.5,4,
HMS,20020909,3,,,,,H_cracherodii,C,75,10,13,4,
HMS,20020909,3,,,,,H_cracherodii,C,75,10,13,4.5,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,5,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,14.5,5,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,5.5,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,3.5,5.5,
HMS,20020909,3,,,,,H_cracherodii,C,20,10,4.4,6,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,6,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,7,
HMS,20020909,3,,,,,H_cracherodii,C,15,5,14.5,7,
HMS,20020909,3,,,,,H_cracherodii,C,20,5,15.2,7,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,9.5,
HMS,20020909,3,,,,,H_cracherodii,C,60,10,13.4,11.5,
