site,date,transect,species,crevice_depth_cm,crevice_width_cm,position_m,size_cm,agg_counts,agg_id,agg_number,agg_name,presence
Hopkins,20020908,1,H_cracherodii,25,10,21,3,2,404,4,agg_Hopkins_20020908_T1_4,No
Hopkins,20020908,1,H_cracherodii,25,10,21,5,2,404,4,agg_Hopkins_20020908_T1_4,No
Hopkins,20020908,1,H_cracherodii,35,8,20,5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,NA,NA,3,5.5,1,401,1,agg_Hopkins_20020908_T1_1,No
Hopkins,20020908,1,H_cracherodii,24,5,25,6,2,405,5,agg_Hopkins_20020908_T1_5,No
Hopkins,20020908,1,H_cracherodii,24,5,25,6,2,405,5,agg_Hopkins_20020908_T1_5,No
Hopkins,20020908,1,H_cracherodii,35,8,20,6.5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,6.5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,6.5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,7,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,7.5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,8,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,20,6,6,8.5,1,402,2,agg_Hopkins_20020908_T1_2,No
Hopkins,20020908,1,H_cracherodii,35,8,20,9.5,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,1,H_cracherodii,35,8,20,10,9,403,3,agg_Hopkins_20020908_T1_3,Yes
Hopkins,20020908,2,H_cracherodii,50,10,1,6,3,406,1,agg_Hopkins_20020908_T2_1,No
Hopkins,20020908,2,H_cracherodii,65,10,1,8,3,406,1,agg_Hopkins_20020908_T2_1,No
Hopkins,20020908,2,H_cracherodii,50,10,1,10,3,406,1,agg_Hopkins_20020908_T2_1,No
Hopkins,20020909,3,H_cracherodii,6,5,15,1.74,4,411,5,agg_Hopkins_20020909_T3_5,Yes
Hopkins,20020909,3,H_cracherodii,15,5,4,2.5,3,407,1,agg_Hopkins_20020909_T3_1,No
Hopkins,20020909,3,H_cracherodii,60,10,14,3,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,15,5,4,3,3,407,1,agg_Hopkins_20020909_T3_1,No
Hopkins,20020909,3,H_cracherodii,60,10,14,3.5,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,20,5,16,3.5,2,412,6,agg_Hopkins_20020909_T3_6,No
Hopkins,20020909,3,H_cracherodii,15,5,15,4,4,411,5,agg_Hopkins_20020909_T3_5,Yes
Hopkins,20020909,3,H_cracherodii,75,10,13,4,3,409,3,agg_Hopkins_20020909_T3_3,No
Hopkins,20020909,3,H_cracherodii,75,10,13,4.5,3,409,3,agg_Hopkins_20020909_T3_3,No
Hopkins,20020909,3,H_cracherodii,60,10,14,5,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,15,5,15,5,4,411,5,agg_Hopkins_20020909_T3_5,Yes
Hopkins,20020909,3,H_cracherodii,60,10,14,5.5,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,15,5,4,5.5,3,407,1,agg_Hopkins_20020909_T3_1,No
Hopkins,20020909,3,H_cracherodii,20,10,5,6,1,408,2,agg_Hopkins_20020909_T3_2,No
