Site,Date,Transect,Start Lat,Start Long,End Lat ,End Long,Transect length (m),Species,Number,
Cannery Row,20021116,1,,,,,30,S. purpuratus,6,
Cannery Row,20021116,2,,,,,30,S. purpuratus,4,
Cannery Row,20021116,3,,,,,30,S. purpuratus,11,
Cannery Row,20021116,4,,,,,30,S. purpuratus,0,
Cannery Row,20021116,5,,,,,30,S. purpuratus,1,
Carmel Bay,20021118,1,,,,,30,S. purpuratus,0,
Carmel Bay,20021118,2,,,,,30,S. purpuratus,1,
Carmel Bay,20021118,3,,,,,30,S. purpuratus,1,
Carmel Bay,20021118,4,,,,,30,S. purpuratus,2,
Carmel Bay,20021118,5,,,,,30,S. purpuratus,4,
Carmel Bay,20021118,6,,,,,30,S. purpuratus,8,
Carmel Bay,20021118,7,,,,,30,S. purpuratus,2,
Hopkins,20020908,1,,,,,30,S. purpuratus,4,
Hopkins,20020908,2,,,,,30,S. purpuratus,0,
Hopkins,20020908,3,,,,,30,S. purpuratus,31,
Hopkins,20020908,4,,,,,30,S. purpuratus,6,
Hopkins,20020908,5,,,,,30,S. purpuratus,5,
Hopkins,20020908,6,,,,,30,S. purpuratus,0,
Hopkins,20020908,7,,,,,30,S. purpuratus,0,
Lobos,20021102,1,,,,,30,S. purpuratus,0,
Lobos,20021102,2,,,,,30,S. purpuratus,7,
Lobos,20021102,3,,,,,30,S. purpuratus,10,
Lobos,20021102,4,,,,,30,S. purpuratus,4,
Lobos,20021102,5,,,,,30,S. purpuratus,3,
Lobos,20021102,6,,,,,30,S. purpuratus,8,
Lobos,20021102,7,,,,,30,S. purpuratus,11,
Malpaso,20021007,1,,,,,30,S. purpuratus,2,
Malpaso,20021007,2,,,,,30,S. purpuratus,9,
Malpaso,20021007,3,,,,,30,S. purpuratus,17,
Malpaso,20021007,4,,,,,30,S. purpuratus,14,
Malpaso,20021007,5,,,,,30,S. purpuratus,1,
Malpaso,20021007,6,,,,,30,S. purpuratus,7,
Malpaso,20021007,7,,,,,30,S. purpuratus,0,
Pescadero,20021008,1,,,,,30,S. purpuratus,1,
Pescadero,20021008,2,,,,,30,S. purpuratus,1,
Pescadero,20021008,3,,,,,30,S. purpuratus,6,
Pescadero,20021008,4,,,,,30,S. purpuratus,7,
Pescadero,20021008,5,,,,,30,S. purpuratus,8,
Pescadero,20021008,6,,,,,30,S. purpuratus,41,
Pescadero,20021008,7,,,,,30,S. purpuratus,9,
Point Pinos,20021103,1,,,,,30,S. purpuratus,8,
Point Pinos,20021103,2,,,,,30,S. purpuratus,1,
Point Pinos,20021103,3,,,,,30,S. purpuratus,4,
Point Pinos,20021103,4,,,,,30,S. purpuratus,7,
Point Pinos,20021103,5,,,,,30,S. purpuratus,8,
Point Pinos,20021103,6,,,,,30,S. purpuratus,13,
Point Pinos,20021103,7,,,,,30,S. purpuratus,21,
Soberanes,20021005,1,,,,,30,S. purpuratus,5,
Soberanes,20021005,2,,,,,30,S. purpuratus,8,
Soberanes,20021005,3,,,,,30,S. purpuratus,16,
Soberanes,20021005,4,,,,,30,S. purpuratus,12,
Soberanes,20021005,5,,,,,30,S. purpuratus,7,
Soberanes,20021005,6,,,,,30,S. purpuratus,6,
Soberanes,20021005,7,,,,,30,S. purpuratus,3,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,30,S.purpuratus,12,
Cannery Row,20170404,1,36.6137,121.8973,36.61391,121.89748,30,S. purpuratus,69,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,30,S. purpuratus,11,
Cannery Row,20170404,3,36.61401,121.8972,36.61424,121.8979,30,S. purpuratus,11,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,30,S. purpuratus,6,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,30,S. purpuratus,0,
Cannery Row,20170404,6,36.61331,121.89745,36.61306,121.89751,30,S. purpuratus,4,
Cannery Row,20170404,7,36.61447,121.89782,,,30,S. purpuratus,200,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,30,S. purpuratus,0,
Carmel Bay,20170226,3,36.54403,121.93371,36.54428,121.93359,30,S. purpuratus,0,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,30,S. purpuratus,0,
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,30,S. purpuratus,0,
Carmel Bay,20170226,6,,,36.54379,121.93397,30,S. purpuratus,0,
Carmel Bay,20170226,7,36.5473,121.93406,36.5435,121.93414,30,S. purpuratus,0,
Carmel Bay,20170226,8,36.54344,121.93406,36.5432,121.93387,30,S. purpuratus,0,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,30,S. purpuratus,5,
Carmel Bay ,20170226,2,36.54347,121.93403,36.54324,121.93386,30,S. purpuratus,0,
Hopkins,20170210,1,36.62123,121.90358,36.62143,121.90379,30,S. purpuratus,8,
Hopkins,20170210,2,36.62156,121.90351,36.62135,121.90334,30,S. purpuratus,27,
Hopkins,20170210,3,36.62108,121.9027,36.62131,121.90344,30,S. purpuratus,0,
Hopkins,20170210,4,36.62087,121.90336,36.62063,121.90323,30,S. purpuratus,0,
Hopkins,20170210,5,36.62093,121.90339,36.62115,121.90356,30,S. purpuratus,1,
Hopkins,20170210,6,36.62172,121.90464,36.62182,121.9049,30,S. purpuratus,0,
Point Pinos,20170310,2,36.6377,121.93633,36.63756,121.93601,30,S. purpuratus,0,
Point Pinos,20170310,3,36.63764,121.93639,36.63754,121.93607,30,S. purpuratus,0,
Point Pinos,20170310,4,36.63791,121.93674,36.63815,121.93694,30,S. purpuratus,0,
Point Pinos,20170310,5,36.63819,121.93701,36.63843,121.93714,30,S. purpuratus,9,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,30,S. purpuratus,0,
Point Pinos,20170310,7,36.6384,121.93732,36.63845,121.93766,30,S. purpuratus,0,
Point Pinos,20170310,8,36.63844,121.93744,36.63855,121.93777,30,S. purpuratus,4,
Point Pinos,20170310,9,36.63843,121.93742,36.63855,121.9377,30,S. purpuratus,6,
Hopkins,20170210,7,36.62147,121.90385,36.62169,121.904,30,S. purpurarus,15,
Hopkins,20170210,8,36.6214,121.90379,36.62119,121.90358,30,S. purpurarus,0,
Hopkins,20180212,1,36.62132,-121.90365,36.62152,-121.90366,30,S. purpuratus,22,
Hopkins,20180212,2,36.62116,-121.90348,36.62138,-121.90365,30,S. purpuratus,3,
Hopkins,20180212,3,36.62132,-121.90345,36.62114,-121.90319,30,S. purpuratus,5,
Hopkins,20180212,4,36.6212,-121.90322,36.62145,-121.90338,30,S. purpuratus,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,30,S. purpuratus,12,
Pt Pinos,20180226,1,36.63791,-121.93668,36.63811,-121.93696,30,S. purpuratus,21,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,30,S. purpuratus,22,
Pt Pinos,20180226,3,36.63818,-121.9369,36.63840,-121.93707,30,S. purpuratus,14,
Pt Pinos,20180226,4,36.63851,-121.93739,36.63839,-121.93707,30,S. purpuratus,106,
Pt Pinos,20180226,5,36.63852,-121.93766,36.63844,-121.93736,30,S. purpuratus,41,
Pt Pinos,20180226,6,36.63811,-121.93694,36.63829,-121.93719,30,S. purpuratus,0,
Pt Pinos,20180226,7,36.63835,-121.9373,36.63843,-121.93764,30,S. purpuratus,3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,30,S. purpuratus,78,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,30,S. purpuratus,67,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,30,S. purpuratus,28,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,30,S. purpuratus,32,
Carmel Point,20180228,5,36.54362,-121.93428,36.54382,-121.93407,30,S. purpuratus,13,
Carmel Point,20180228,6,36.5438,-121.93399,36.54358,-121.93411,30,S. purpuratus,21,
Carmel Point,20180228,7,36.54424,-121.93362,36.54382,-121.93407,30,S. purpuratus,1,
Cannery Row,20180312,4,36.61395,-121.89776,36.6138,-121.89752,30,S. purpuratus,77,
Cannery Row,20180312,2,36.61376,121.89748,36.61396,-121.89756,22,S. purpuratus,46,
Cannery Row,20180312,1,36.61379,-121.89738,36.61395,-121.89753,25,S. purpuratus,46,
Cannery Row,20180312,5,36.61427,-121.8978,36.61404,-121.89785,30,S. purpuratus,50,
Cannery Row,20180312,3,36.61391,-121.89773,36.61377,-121.89746,30,S. purpuratus,11,
Hopkins,20180326,7,36.62164,-121.90359,36.62183,-121.90379,30,S. purpuratus,33,
Hopkins,20180326,6,36.62109,-121.90349,36.02185,-12190369,30,S. purpuratus,28,
Cannery Row,20190415,1,N 36.61374,W 121.89737,N 36.61389,W 121.89752,30,S. purpuratus,251,
Cannery Row,20190415,2,N 36.61381,W 121.89747,N 36.61399,W 121.89771,30,S. purpuratus,305,
Cannery Row,20190415,3,N 36.61379,W 121.8975,N 36.61398,W 121.89776,30,S. purpuratus,99,
Cannery Row,20190417,4,N 36.61423,W 121.89793,N 36.61449,W 121.89786,30,S. purpuratus,402,
Cannery Row,20190415,5,N 36.613198,W 121.89776,N 36.61421,W 121.89788,30,S. purpuratus,100,
Cannery Row,20190415,6,N 36.61452,W 121.89777,N 36.61460,W 121.89805,30,S. purpuratus,259,
Cannery Row,20190415,7,N 36.61495,W 121.89819,N 36.61491,W 121.89831,22.5,S. purpuratus,49,
Carmel Bay,20190403,1,N 36.54431,W 121.93346,N 36.54404,W 121.93351,30,S. purpuratus,1,
Carmel Bay,20190403,2,N 36.54401,W 121.93359,N 36.54430,W 121.93354,30,S. purpuratus,0,
Carmel Bay,20190403,3,,,,,30,S. purpuratus,0,
Carmel Bay,20190403,4,N 36.54405,W 12193359,N 36.5487,W 121.9387,30,S. purpuratus,0,
Carmel Bay,20190403,5,N 36.54397,W 121.93388,N 36.54373,W 121.93405,30,S. purpuratus,5,
Carmel Bay,20190403,6,N 36.54380,W 121.93381,N 36.54356,W 121.93396,30,S. purpuratus,0,
Carmel Bay,20190403,7,N 36.54387,W 121.93386,N 36.54359,W 121.93410,30,S. purpuratus,71,
Hopkins,20190218,1,10S 0598038,UTM 4053410,10S 0598025,UTM 4053436,30,S. purpuratus,5,
Hopkins,20190218,2,10S 0598046,UTM 4053408,10S 0598034,UTM 4053435,30,S. purpuratus,42,
Hopkins,20190218,3,10S 0598077,UTM 4053420,10S 0598053,UTM 4053435,30,S. purpuratus,44,
Hopkins,20190218,4,10S 0598032,UTM 4053469,10S 0598050,UTM 4053444,30,S. purpuratus,281,
Hopkins,20190218,5,10S 0598052,UTM 4053450,,,30,S. purpuratus,91,
Hopkins,20190220,8,10S 0598052,4053418,10S 0598036,4053443,30,S. purpuratus,60,
Point Pinos,20190304,1,N 36.63764 ,W 121.93613,N 36.63770,W 121.93646,30,S. purpuratus,53,
Point Pinos,20190304,2,N 36.63805,W 121.93691,N 36.63788,W 121.93669,30,S. purpuratus,33,
Point Pinos,20190304,3,N 36.63810,W 121.93694,N 36.63836,W 121.93695,30,S. purpuratus,245,
Point Pinos,20190304,4,N 36.63842,W 121.93707,N 36.63817,W 121.93744,30,S. purpuratus,87,
Point Pinos,20190304,5,N 36.63823,W 121.93709,N 36.63845,W 121.93719,30,S. purpuratus,66,
Point Pinos,20190306,6,N 36.63845,W 121.93726,N 36.63845,W 121.93755,30,S. purpuratus,10,
Point Pinos,20190306,7,N 36.63845,W 121.93726,,,30,S. purpuratus,49,
Carmel Bay,20200224,1,N 36.54368,W 121.93421,N 36.54343,W 121.93423,30,S. purpuratus ,262,
Carmel Bay,20200219,3,N 36.54406,W 121.93384,N 36.54384,W 121.93404,30,S. purpuratus ,599,
Carmel Bay,20200219,4,N 36.54409,W 121.93376,N 36.54385,W 121.93385,30,S. purpuratus ,42,
Hopkins,20200210,4,N 36.62,W 121.90323,N 36.62135,W 121.90340,30,S. purpuratus ,6,
Cannery Row,20200309,3,N 36.61398,W 121.89770,N 36.61384,W 121.89751,30,S. purpuratus ,414,
Cannery Row,20200309,4,N 36.61403,W 121. 89777,N 36.61423,W 121.89795,30,S. purpuratus ,651,
Cannery Row,20200309,1,N 36.61403,W 121.89762,N 36.61386,W 121.89745,30,S. purpuratus ,1928,
Cannery Row,20200309,5,N36.61423,W121.89787,N36.61401,W121.89771,30,S. purpuratus ,1139,
Cannery Row,20200309,7,N 36.61455,W 121.89774,N 36.61456,W 121.89806,30,S. purpuratus ,834,
Cannery Row ,20200309,6,N 36.61449,W 121.89783,N 36.61424,W 121.89781,30,S. purpuratus ,1422,
Carmel Bay,20200219,2,N 36.54410,W 121.93376,N 36.54435,W 121.93373,30,S. purpuratus ,213,
Carmel Bay,20200224,2,N 36.54370,W 121.93414,N 36.54343,W 121.93418,30,S. purpuratus ,450,
